Name,FORCE_X,FORCE_Y,FORCE_Z,Fx_N,Fy_N,Fz_N,PROCESS_FORCE,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C,ACT_POSITION_MKS_X,ACT_POSITION_MKS_Y,ACT_POSITION_MKS_Z,ACT_POSITION_MKS_A,ACT_POSITION_MKS_C,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_CUTTING_EDGE_NUMBER,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_NUMBER,ACTIVE_TOOL_LENGTH,ACT_ZERO_OFFSET_Z,ACT_ZERO_OFFSET_A,ACT_ZERO_OFFSET_C,ACT_ZERO_OFFSET_X,ACT_ZERO_OFFSET_Y
133674057791880000,-113,1264,-118,-1.72429526,19.287693,-3.601183,0,17.5670033,13.6107054,139.114548,2.9569157E-05,359.999969,-1,-1,-1,0,315.271637,100,187.056458,24003.0664,2.8659668,-5.65332031,2.401123,-0.227416992,-0.245178223,-1.9140625,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791930000,-64,1091,-76,-0.976592,16.6478424,-2.319406,0,17.4093418,13.3822851,139.115875,9.234817E-05,359.999969,-1,-1,-1,0,315.271637,100,43.0613976,23999.0625,2.402832,-4.85351563,2.54980469,-0.181274414,-0.243591309,-1.00488281,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057791980000,-26,429,-152,-0.3967405,6.5462184,-4.638812,0,17.2846584,13.2008152,139.115524,-3.32001946E-05,359.999847,-1,-1,-1,0,315.271637,100,259.0169,23998.26,1.98071289,-4.043457,2.54467773,-0.187866211,-0.2197876,-2.42675781,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792030000,-45,413,-102,-0.68666625,6.30207,-3.112887,0,17.11525,12.9535952,139.116409,-3.32002E-05,359.999969,-1,-1,-1,0,315.271637,100,331.035034,23997.918,1.1484375,-2.56689453,2.55151367,-0.154907227,-0.2364502,-2.05761719,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792080000,-119,21,-64,-1.81585073,0.320444256,-1.953184,0,17.0615082,12.8746853,139.115524,-3.321953E-05,359.999847,-1,-1,-1,0,315.271637,100,187.050964,24002.8379,0.890380859,-1.9140625,2.36694336,-0.2109375,-0.23248291,-2.074707,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792130000,-138,-44,-103,-2.10577655,-0.671407,-3.14340544,0,17.0226631,12.8195953,139.1163,-3.32195341E-05,5.34305036E-05,-1,-1,-1,0,315.271637,100,43.0559044,23999.1758,0.6254883,-1.34155273,2.48657227,-0.187866211,-0.2475586,-1.33984375,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792180000,-21,-166,-115,-0.320444256,-2.53303552,-3.50962758,0,16.97901,12.7566051,139.115662,2.95594855E-05,359.999969,-1,-1,-1,0,315.271637,100,115.069908,24001.35,0.256347656,-0.435791016,2.34472656,-0.213134766,-0.243591309,-0.987792969,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792230000,-44,-303,-122,-0.671407,-4.623553,-3.723257,0,16.96911,12.7414246,139.116714,-9.59888857E-05,359.999969,-1,-1,-1,0,315.271637,100,331.040527,23998.0313,0.0649414063,-0.112792969,2.47631836,-0.1538086,-0.230102539,-2.300293,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792280000,-57,-426,-111,-0.869777262,-6.5004406,-3.38755345,0,16.9640026,12.7325954,139.115448,2.954982E-05,359.999847,-1,-1,-1,0,315.271637,100,187.0592,24002.9531,-0.109375,0.1538086,2.293457,-0.193359375,-0.231689453,-1.71240234,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
133674057792330000,10,-367,-95,0.1525925,-5.600145,-2.89925742,0,16.9614029,12.7283354,139.116241,-3.3209868E-05,359.999969,-1,-1,-1,0,315.271637,100,43.06277,23998.832,-0.271728516,0.341796875,2.394287,-0.172485352,-0.246765137,-1.02880859,0,2.9907,131,89.8154,-180,0,315.271637,-272.991,-326.45816
