Milliseconds,X_Traori_Transformed,Y_Traori_Transformed,Z_Traori_Transformed,Fx_N,Fy_N,Fz_N,ACT_POSITION_X,ACT_POSITION_Y,ACT_POSITION_Z,ACT_POSITION_A,ACT_POSITION_C_Updated,ACT_OVERRIDE,SPINDLE_ROTATION_ANGLE,SPINDLE_SPEED,ACT_CURRENT_X,ACT_CURRENT_Y,ACT_CURRENT_Z,ACT_CURRENT_A,ACT_CURRENT_C,ACT_CURRENT_S,ACTIVE_TOOL_RADIUS,ACTIVE_TOOL_LENGTH,Zero_Offset_X,Zero_Offset_Y,Zero_Offset_Z,Zero_Offset_C
179.6,-217.95099539774134,-314.60700901054975,-153.16422459132127,-13.3671026,-84.41417,-18.5552483,15.0396948,11.8520536,-13.0499163,-0.0002215856,5.34340179e-05,100,186.140472,24001.6934,0.198242188,0.673339844,3.45898438,-0.221923828,-0.305480957,-3.284668,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.65,-217.93470814288338,-314.6497626644305,-153.16468402741242,-10.3610306,-86.7183151,-14.6793985,15.0554457,11.8096714,-13.0503759,-0.0002215856,0.000151093787,100,42.14816,23999.748,0.19140625,0.6203613,3.494873,-0.194458008,-0.303894043,-1.67822266,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.7,-217.91941509999998,-314.69072424732553,-153.163684466775,-13.3213253,-87.40498,-14.9235468,15.0715685,11.7681351,-13.0493765,-0.0002215856,0.0,100,258.109161,23999.0625,0.239257813,0.6801758,3.4675293,-0.1439209,-0.28326416,-3.52734375,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.75,-217.8861520229698,-314.77370923805097,-153.1643431997502,-22.6142082,-86.64202,-28.6263523,15.104538,11.6853533,-13.0500355,-0.00022157593,5.34375322e-05,100,330.1273,23997.5742,0.311035156,0.640869141,3.505127,-0.164794922,-0.294372559,-2.65576172,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.8,-217.86787298518482,-314.81422232393044,-153.16451913130268,-18.1432476,-78.44781,-12.81777,15.122817,11.6446724,-13.0498667,-0.000158806579,5.34375322e-05,100,186.141846,24001.9219,0.336669922,0.7109375,3.47436523,-0.206542969,-0.3102417,-3.54101563,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.85,-217.8479051019925,-314.8548720091676,-153.1645526873109,-18.6010265,-79.9432144,-9.826957,15.1422482,11.6045618,-13.0502453,-0.00022157593,0.000151093787,100,42.1550255,23999.9766,0.374267578,0.5332031,3.498291,-0.166992188,-0.314208984,-2.177246,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.9,-217.80543869504697,-314.93157950045264,-153.1641822830079,-27.1004276,-72.3746262,-13.275548,15.1852512,11.527483,-13.0498753,-0.000221595255,5.34340179e-05,100,114.158043,24001.35,0.3947754,0.497314453,3.46069336,-0.185668945,-0.3173828,-2.42333984,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
179.95,-217.78214129999998,-314.9692095712971,-153.16386567853937,-26.5663548,-73.5190659,-21.57658,15.2088423,11.4898176,-13.0499039,-0.000284364622,0.0,100,330.139648,23997.918,0.389648438,0.499023438,3.491455,-0.116455078,-0.284057617,-3.072754,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.0,-217.75670019999998,-315.00553407475235,-153.16410189619805,-26.9936142,-63.2190742,-13.6417694,15.2342834,11.4533253,-13.0497952,-0.000221595255,0.0,100,186.163818,24002.61,0.365722656,0.517822266,3.44360352,-0.179077148,-0.305480957,-2.48486328,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
180.05,-217.72973582696022,-315.04234883127134,-153.1639950183916,-28.0159836,-55.0248566,-6.13421869,15.260417,11.4172525,-13.0500336,-0.000284364622,0.000151090266,100,42.1838646,24000.32,0.3623047,0.5007324,3.4675293,-0.114257813,-0.3213501,-1.75683594,2.9907,89.8154,232.9909836,326.458267,140.115525,5.34340179e-05
